channel_entity_id,channel_lineup_id
0060eb0d-00ee-75f5-9964-5c1ba8fb1b60,100
01305215-db22-2cdc-7eaf-ca12c60a2643,100
013adf53-baec-28b2-2762-5923e46b5dfe,100
0161adf3-9b24-7729-ab29-cbfc29c7e37a,100
01675bf6-1d35-d05f-2e73-0a750694aa6d,100
0185552e-93a4-09fa-a5f9-b8aa69f7458f,100
01df036f-ad39-e243-e554-f614e1f0ce00,100
01f2a47f-52a3-242b-5f15-86ffcf86be54,100
02394c8d-7afe-6ba2-3791-fce63b1e4d85,100
0297421f-c65c-3e0c-8299-0d19bc0a89a0,100
034a6e76-af1c-7aaf-4e1b-d93d3c3550d8,100
0362be32-e873-95f6-c282-2fcf7be86ab6,100
038e9a9a-4878-7561-521b-5d432a0798a0,100
047ca775-d9c4-ef78-2cfa-185f407d8233,100
04a5416f-e92d-1b31-d724-c3110fcd2bb9,100
04e45b04-19ab-3ca3-3064-4fe6320df18b,100
052d805b-0fb1-16e6-a431-d5096bb6700a,100
05cd3a1a-d292-3b8e-e8c9-1566d0726994,100
06142ffe-70c2-2e7d-4f95-57e98e9707fe,100
0620e80d-4570-ac86-cbc5-c254d769e34e,100
067801cb-bb3f-1707-dd21-d77e06bb27c0,100
0736f9f8-2b36-d38f-e3a6-d4de7d7877a8,100
07523f40-2db7-749a-b453-7a7732cda89c,100
08361d2b-88c3-df4d-d782-cb3e1ffdaad8,100
09586618-2f54-1e2d-138e-ca62ed294936,100
098425c8-142d-9ee9-3d45-bc5f7b284bd4,100
09a91fb6-2ec7-f8fb-e562-4f869ff011ef,100
09cdce68-b0dc-fa0f-664a-46983e213ee8,100
09d1edf4-3e54-59e1-3fa6-e68233c07b17,100
0a0e2928-72dd-bb4c-3cc2-910dfa506113,100
0ad5a8a2-87c0-164d-3fe5-da04f7b2f18f,100
0ae9517d-18da-ca1f-efd6-e61182d4dce8,100
0aee72ed-5dd8-2848-3567-d8809e123cd1,100
0b04fd91-ea6a-2c62-cb3b-a339e8f232d3,100
0b5b5f60-dfcf-eba9-1dc6-ec3c909f4541,100
0bad8b45-d4c2-3480-884b-5b7874fd3325,100
0c14c6ec-9da9-4846-3a87-18ac97717a5b,100
0c8ec1e3-f152-0ea1-3b45-35f7ec816990,100
0dfe0e19-b5ad-5055-e82f-a8b3890ee888,100
0e7ed6f4-4aa2-acd4-d045-fd073763c2c2,100
0e96d823-844f-3ab7-fdd7-5d74de02e8a7,100
0ecf5734-5bba-08aa-0bbe-26d9a9017514,100
0f652eae-12e7-03e5-cd1f-c78c10548ca3,100
0fed9647-cc82-24d7-526d-98762e8a52cd,100
102fb848-1671-f633-f0c3-c3cbc9775af0,100
11e6d525-fe2c-297d-c264-98187d25700b,100
123d4a3d-f6f5-7086-79f4-1c481cc6c8f0,100
123f7d39-c99f-2f01-7900-0d4b8b010cb7,100
12f0e0aa-603c-94d6-d136-4ffa07ea7010,100
1365d5e1-dc77-bc1d-107d-e01630b10f29,100
13f5be5d-1ca3-60bd-16d3-e77375a15f29,100
1413f1e2-2205-b87a-80ef-cdb897803d31,100
14c3bc4f-4309-b439-4a84-54c0f26a581c,100
14d3da18-9b75-0f8b-08f2-68a7db2d9c38,100
15866460-1973-3054-d6f8-a9d9cbb4f26e,100
15c78a20-48ff-41f2-aa4e-d0da15455c24,100
170678e5-62e1-9117-30cf-19027d9d0a28,100
176daca5-6810-3a1c-49e9-39b69055e811,100
1898923d-071d-0abd-1a62-ed0d2702d4f1,100
19279890-ebb6-0ed6-0408-8d19a98f9039,100
194adbca-34d6-cb94-b153-3488ee563308,100
1956e80e-d36d-f869-5396-cbc692f48f9b,100
19d18208-609b-a05d-4632-e2e6ffa1f44c,100
1a649e3b-6686-77fc-6ccb-7184feb7bd85,100
1a8c7e32-a74d-20a9-9842-63fecb57f97c,100
1ae7b853-cd4e-6922-036e-127139b3628e,100
1bc09305-2af6-bbbb-c765-a7d83afa669a,100
1c03d7ed-0fa5-b133-23c7-01dbf66b335f,100
1ce5ef23-525e-7698-8745-beffc15e8d16,100
1e4c188d-46ba-7005-c260-b3e3ff7f87a3,100
1e78cc73-4c8d-3a3f-6db2-7cc1857a8b7c,100
1ea7158e-d97e-fdcd-a94d-b9120d66be21,100
1f6acdac-1597-e01d-8d83-8c1f2789bfda,100
1f8d835e-8469-aefe-f272-8011d2104d0d,100
2016d325-03e5-ef06-a80f-de215b6f2d87,100
2022dfab-580f-675f-6aad-00aad9c3be9b,100
204f079a-4d9e-b395-824c-985274cc987a,100
20801778-3df2-d607-eab5-e03de0ca7815,100
20871ee1-8eb6-7285-c842-c8a32a5a4283,100
21070087-5098-a73f-1a0c-b842566e1ef7,100
2123d9ad-bc5b-1151-9649-b2cb9dce2a8f,100
21b63878-b369-1503-d1c8-6025cc8571de,100
21c2a98a-e53e-c944-8e23-12cabd6c3439,100
21fd583e-8f6a-b869-4f75-9e8a3f604eb0,100
2211d1e6-153e-f617-b0d7-fd0b4ff513f2,100
22b6d419-0bc3-31f7-c9dd-53ca6c673d8c,100
2337bd03-66df-f3fa-5f6f-385fd242e405,100
23771c8c-4631-0fa1-2038-b793bc7e404b,100
23999ddf-2cc2-35e2-7d04-6cc2749043d0,100
24e9f2a1-6322-3024-3d37-0f37f40129b3,100
25311de8-5eac-1c6f-9f21-9b3c54fbb09a,100
255682b9-78d5-0279-ca90-fb6b37c87592,100
25de1705-19ad-6f6e-d45f-3f8775a37800,100
2692983c-1779-bca2-800c-76b8dd988ae8,100
269497e4-7f91-377d-0940-6b9f027b5b3b,100
